Docket Number,Violation Number,Issued Date,Issuing Department,Last Hearing Date,Property Address,Violation Type,Entity or Person(s),Disposition Description,Total Fines,Total Administrative Costs,Interest Amount,Collection Costs or Attorney Fees,Court Cost,Original Total Amount Due,Total Paid,Current Amount Due,Latitude,Longitude,Location
14CP148244,P004148213|P004148214,09/27/2014,POLICE,12/05/2014 11:00:00 AM,357 E 117TH ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"HSBC BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.68128743051466,-87.61446016122133,POINT (-87.61446016122133 41.68128743051466)
21CP014277,P005471057|P005471058,08/18/2021,POLICE,11/05/2021 01:00:00 PM,3916 W WILCOX ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"DEUTSCHE BANK NATL TRUST CO, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.87900145182319,-87.72389675505356,POINT (-87.72389675505356 41.87900145182319)
12CP023408,P003232251|P003232252|P003232253|P003232254|P003232255|P003232256,04/03/2012,POLICE,07/06/2012 09:00:00 AM,5257 S AULINA ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"WELLS FARGO BANK, ",City Non suit - Motion to set-aside default - Granted,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
19CP012612,P005715698|P005715701|P005715703,02/19/2019,POLICE,04/05/2019 09:00:00 AM,5545 S HONORE ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.,"JP MORGAN CHASE BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.79221416337626,-87.67045799622012,POINT (-87.67045799622012 41.79221416337626)
12CP009010,P002169577,02/12/2012,POLICE,03/02/2012 09:00:00 AM,644 S FAIRFIELD ,13-12-125  Duty to secure and maintain vacant building.,"DEUTSCHE BANK, ",City non-suit,1300.00,0.00,273.55,377.88,0.00,1991.43,1200.00,0.00,,,
15CP040733,P004658667|P004658668|P004658669|P004658670|P004658671|P004658672,03/05/2015,POLICE,05/01/2015 01:00:00 PM,5623 S MOZART ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.7911389195596,-87.69480223889377,POINT (-87.69480223889377 41.7911389195596)
16CP074109,P005018678|P005018679|P005018693|P005018694|P005018695,07/08/2016,POLICE,10/07/2016 11:00:00 AM,8342 S PAXTON ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK, ",City non-suit,600.00,0.00,0.00,0.00,0.00,640.00,640.00,0.00,41.74312117408458,-87.57111554106396,POINT (-87.57111554106396 41.74312117408458)
13CP002133,P003765039,12/06/2012,POLICE,02/01/2013 01:00:00 PM,1106 N KEYSTONE ,13-12-140  Watchman required,"JP MORGAN CHASE BANK, ",Default - Liable by prove-up,300.00,0.00,0.00,0.00,0.00,340.00,340.00,0.00,41.90109066574559,-87.72763177305589,POINT (-87.72763177305589 41.90109066574559)
14CP121467,P004590340|P004590341,08/25/2014,POLICE,10/03/2014 01:00:00 PM,4031 W MONROE ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"US BANK NA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.87963611647172,-87.72689851081016,POINT (-87.72689851081016 41.87963611647172)
13CP046203,P003923580|P003923582|P003923584,05/16/2013,POLICE,07/05/2013 09:00:00 AM,5631 S ARTESIAN ,13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"CHASE HOME FINANCE LLC, ",Default - Liable by prove-up,1300.00,0.00,10.69,377.88,0.00,1728.57,1728.85,-0.28,41.791241248062725,-87.6850709395897,POINT (-87.6850709395897 41.791241248062725)
