Docket Number,Violation Number,Issued Date,Issuing Department,Last Hearing Date,Property Address,Violation Type,Entity or Person(s),Disposition Description,Total Fines,Total Administrative Costs,Interest Amount,Collection Costs or Attorney Fees,Court Cost,Original Total Amount Due,Total Paid,Current Amount Due,Latitude,Longitude,Location
11CP015666,P002161520|P002161521,03/07/2011,POLICE,08/05/2011 11:00:00 AM,9332 S LASALLE ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"JP MORGAN CHASE, ",City Non suit - Motion to set-aside default - Granted,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.72433163710899,-87.62766855145455,POINT (-87.62766855145455 41.72433163710899)
11CP020396,P002513827,05/04/2011,POLICE,07/01/2011 02:30:00 PM,2107 N SAWYER ,13-12-140  Watchman required,"DEUTSCHE BANK, ",Liable - By plea,100.00,0.00,0.00,0.00,0.00,140.00,280.00,-140.00,41.919468897981616,-87.70884424604687,POINT (-87.70884424604687 41.919468897981616)
11CP024049,P002165386|P002165387,05/03/2011,POLICE,07/01/2011 02:00:00 PM,12863 S NORMAL ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"WELLS FARGO BANK NA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.65966224784699,-87.63393730049602,POINT (-87.63393730049602 41.65966224784699)
11CP026554,P002109256,05/27/2011,POLICE,07/01/2011 09:00:00 AM,5700 S ABERDEEN ,13-12-140  Watchman required,"OCWEN LOAN SERVICING LLC, ",Not liable - City failed to meet burden of proof,800.00,0.00,27.96,236.88,26.09,1130.93,1125.00,0.00,41.79047358708863,-87.65249718861547,POINT (-87.65249718861547 41.79047358708863)
11CP054441,P003018262|P003018263|P003018264,08/25/2011,POLICE,10/07/2011 09:00:00 AM,5035 S RACINE ,13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"WELLS FARGO, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.80222309496589,-87.65493156629385,POINT (-87.65493156629385 41.80222309496589)
11CP063728,P003007973|P003007974,09/25/2011,POLICE,11/04/2011 09:00:00 AM,6415 S SANGAMON ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"BANK OF NEW YORK MELLON, ",City non-suit,2800.00,0.00,40.35,800.88,20.00,3701.23,3883.69,-185.01,41.777393330177546,-87.64822140158856,POINT (-87.64822140158856 41.777393330177546)
11CP065778,P003060284|P003060286,10/04/2011,POLICE,11/04/2011 01:00:00 PM,501 W CRYSTAL ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.,"WELLS FARGO, ",City non-suit,1300.00,0.00,32.26,237.23,0.00,1609.49,3257.40,-1647.91,,,
11CP079197,P003059852|P003059853|P003059854|P003059855,11/28/2011,POLICE,01/06/2012 01:00:00 PM,1725 N MAYFIELD ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required,"DEUTSCHE BANK NATIONAL TRUST CO, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.9118846821849,-87.77265515630052,POINT (-87.77265515630052 41.9118846821849)
12CP001672,P003141063|P003141066,12/28/2011,POLICE,02/03/2012 09:00:00 AM,5319 S BISHOP ,13-12-140  Watchman required|13-12-140  Watchman required,"HSBC BANK USA NTAL ASSN, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.79712739648366,-87.66087654489898,POINT (-87.66087654489898 41.79712739648366)
12CP004477,P002037414|P002037415|P002037416|P002037417,01/09/2012,POLICE,02/03/2012 09:00:00 AM,2502 W 60TH ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required,"MIDFIRST BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.78480791012269,-87.6863874628232,POINT (-87.6863874628232 41.78480791012269)
12CP009773,P003179843|P003179844,02/01/2012,POLICE,03/02/2012 01:00:00 PM,4517 W WILCOX ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"M B FINANCIAL BANK NA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.87860507699202,-87.73857401053314,POINT (-87.73857401053314 41.87860507699202)
12CP012284,P003142126,02/15/2012,POLICE,04/06/2012 09:00:00 AM,5423 S WINCHESTER ,13-12-140  Watchman required,"DEUTSCHE BANK NATL TRUST, ",Not liable - City failed to establish prima facie case,3800.00,0.00,114.56,1082.88,0.00,5037.44,5189.31,-185.01,41.79506667911757,-87.67296949154296,POINT (-87.67296949154296 41.79506667911757)
12CP016975,P002169002|P002169003|P002169040|P002169041|P002169046|P002169047,03/03/2012,POLICE,04/06/2012 09:00:00 AM,7759 S HOMA ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"PNC MORTGAGE, ",Default - Liable by prove-up,4300.00,0.00,66.34,1223.88,0.00,5630.22,5608.83,0.00,,,
12CP021502,P003175091,03/12/2012,POLICE,05/04/2012 11:00:00 AM,7938 S BURNHAM ,13-12-140  Watchman required,"BANK NY MELLON, ",Default - Liable by prove-up,300.00,0.00,44.76,95.88,76.00,556.64,740.64,-185.01,41.75069849132201,-87.55665849834226,POINT (-87.55665849834226 41.75069849132201)
12CP030927,P003232626|P003232628|P003232924,04/19/2012,POLICE,06/01/2012 09:00:00 AM,5234 S JUSTINE ,13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK AND TRUST, ",Default - Liable by prove-up,1300.00,0.00,5.94,0.00,0.00,1345.94,1343.63,0.00,41.79845792929891,-87.66363277009435,POINT (-87.66363277009435 41.79845792929891)
12CP031800,P003180692|P003180693,04/17/2012,POLICE,06/01/2012 01:00:00 PM,4143 W VAN BUREN ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"BANK OF NEW YORK MELLON, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.875104969741784,-87.72965265531991,POINT (-87.72965265531991 41.875104969741784)
12CP036375,P003229893,05/30/2012,POLICE,07/06/2012 01:00:00 PM,4320 N WHIPPLE ,13-12-140  Watchman required,"DEUTSCHE BANK, ",Default - Liable by prove-up,300.00,0.00,0.16,0.00,0.00,340.16,340.00,0.00,41.96004742781901,-87.70469272745198,POINT (-87.70469272745198 41.96004742781901)
12CP038322,P002062869|P002062871|P002062873,06/12/2012,POLICE,07/06/2012 09:00:00 AM,6218 S TROY ,13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"BANK OF NEW YORK MELLON, ",Default - Liable by prove-up,1300.00,0.00,10.44,377.88,0.00,1728.32,1728.12,-0.01,41.78020616070172,-87.70209905576823,POINT (-87.70209905576823 41.78020616070172)
12CP041649,P003229339|P003229340,06/14/2012,POLICE,08/03/2012 01:00:00 PM,230 N LACROSSE ,13-12-140  Watchman required|13-12-140  Watchman required,"JP MORGAN CHASE BANK, ",Default - Liable by prove-up,800.00,0.00,131.90,28.84,0.00,1000.74,980.65,0.00,41.88546491219683,-87.74683179798302,POINT (-87.74683179798302 41.88546491219683)
12CP058877,P003180744|P003180745,07/30/2012,POLICE,09/07/2012 01:00:00 PM,3719 W OHIO ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.89164161861375,-87.7195292412954,POINT (-87.7195292412954 41.89164161861375)
12CP071274,P002166571,09/28/2012,POLICE,11/02/2012 01:00:00 PM,119 N WALLER ,13-12-140  Watchman required,"J P MORGAN CHASE BANK NA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.88285155239972,-87.76806289468412,POINT (-87.76806289468412 41.88285155239972)
12CP074353,P003224426|P003224427,10/11/2012,POLICE,12/07/2012 01:00:00 PM,1305 N MASON ,13-12-140  Watchman required|13-12-140  Watchman required,"CHASE HOME FINANCE LLC, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.90403591359759,-87.77406802224083,POINT (-87.77406802224083 41.90403591359759)
12CP081546,P004015711|P004015712,11/13/2012,POLICE,01/04/2013 01:00:00 PM,1535 N MASSASOIT ,13-12-140  Watchman required|13-12-140  Watchman required,"U S BANK N A, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.90856700851207,-87.76937197664967,POINT (-87.76937197664967 41.90856700851207)
12CP084771,P004015192,11/23/2012,POLICE,01/04/2013 01:00:00 PM,3046 N DRAKE ,13-12-140  Watchman required,"FEDERAL HOME LOAN MORTGAGE, ",Default - Liable by prove-up,300.00,0.00,32.60,95.88,0.00,468.48,468.07,0.00,41.937008753586305,-87.71625102300358,POINT (-87.71625102300358 41.937008753586305)
13CP000865,P003830430,12/10/2012,POLICE,02/01/2013 09:00:00 AM,5221 S JUSTINE ,13-12-140  Watchman required,"WELLS FARGO BANK, ",Default - Liable by prove-up,300.00,0.00,1.09,0.00,0.00,341.09,341.09,0.00,41.79885840370028,-87.66335120499933,POINT (-87.66335120499933 41.79885840370028)
13CP009146,P003766968|P003766969,02/01/2013,POLICE,03/01/2013 01:00:00 PM,4216 W ADAMS ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.87801854918201,-87.7312147223763,POINT (-87.7312147223763 41.87801854918201)
13CP010677,P003831595,02/08/2013,POLICE,04/05/2013 09:00:00 AM,3051 W 54TH ST ,13-12-125  Duty to secure and maintain vacant building.,"CITI MORTGAGE, ",Liable - By plea,500.00,0.00,20.90,152.28,0.00,713.18,705.38,0.00,41.79528217456783,-87.70074157652063,POINT (-87.70074157652063 41.79528217456783)
13CP018380,P004017194|P004017195,02/27/2013,POLICE,04/05/2013 01:00:00 PM,1109 N KEYSTONE ,13-12-140  Watchman required|13-12-140  Watchman required,"DEUTSCHE BANK NATL TRUST CO, ",Default - Liable by prove-up,800.00,0.00,45.56,236.88,0.00,1122.44,1115.17,-0.01,41.90115410852395,-87.72733967435713,POINT (-87.72733967435713 41.90115410852395)
13CP032834,P004077429|P004077430,04/26/2013,POLICE,06/07/2013 09:00:00 AM,4722 S LAFLIN ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"JP MORGAN CHASE BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.80792153579155,-87.66266181105165,POINT (-87.66266181105165 41.80792153579155)
13CP048704,P004077112,06/17/2013,POLICE,09/06/2013 09:00:00 AM,941 W 32TH ,13-12-125  Duty to secure and maintain vacant building.,"U S BANK AND TRUST, ",Liable - By plea,1000.00,0.00,0.00,0.00,0.00,1040.00,1040.00,0.00,41.83629490589152,-87.65030000721987,POINT (-87.65030000721987 41.83629490589152)
13CP067150,P004226281,08/08/2013,POLICE,11/01/2013 09:00:00 AM,4622 S HONORE ,13-12-140  Watchman required,"DEUTSCHE BANK NATL TRUST CO, ",Liable - By plea,500.00,0.00,0.00,0.00,0.00,540.00,540.00,0.00,41.80965246473012,-87.67122402162394,POINT (-87.67122402162394 41.80965246473012)
13CP067603,P004154701|P004154702|P004226325,08/13/2013,POLICE,11/01/2013 09:00:00 AM,5330 S MORGAN ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"DEUTSCHE BANK NATL TRUST CO, ",City non-suit,100.00,0.00,0.00,0.00,0.00,140.00,140.00,0.00,41.79695428433428,-87.65023196126798,POINT (-87.65023196126798 41.79695428433428)
13CP071676,P004154829,08/27/2013,POLICE,11/01/2013 09:00:00 AM,100  UNKNOWN ,13-12-140  Watchman required,"WELLS FARGO BANK, ",Default - Liable by prove-up,300.00,0.00,0.00,0.00,0.00,340.00,340.00,0.00,,,
13CP092249,P004192262,11/01/2013,POLICE,12/06/2013 01:00:00 PM,2841 W CONGRESS PKWY ,13-12-140  Watchman required,"BANK OF N Y MELLON, ",Liable - By plea,300.00,0.00,0.00,0.00,0.00,340.00,340.00,0.00,41.87477883562405,-87.69776570118668,POINT (-87.69776570118668 41.87477883562405)
13CP093848,P004319451,10/28/2013,POLICE,01/03/2014 09:00:00 AM,6430 S MAPLEWOOD ,13-12-125  Duty to secure and maintain vacant building.,"WELLS FARGO BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.77644290627939,-87.68737415565417,POINT (-87.68737415565417 41.77644290627939)
13CP094496,P004327859,10/05/2013,POLICE,02/07/2014 09:00:00 AM,6542 S ARTESIAN ,13-12-140  Watchman required,"WELLS FARGO BANK, ",Dismissed for want of prosecution - No service,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.77431914436686,-87.68487505101264,POINT (-87.68487505101264 41.77431914436686)
13CP095811,P004299242|P004299243|P004299244,11/18/2013,POLICE,02/07/2014 09:00:00 AM,2111 W GARFIELD ,13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"J P MORGAN CHASE BANK, ",Liable - By plea,700.00,0.00,0.00,0.00,0.00,740.00,740.00,0.00,41.793407529110944,-87.67723589735822,POINT (-87.67723589735822 41.793407529110944)
13CP100789,P004327810|P004327812|P004327814,11/21/2013,POLICE,02/07/2014 09:00:00 AM,6100 S WASHTENAW ,13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"U S BANK N A, ",City Non suit - Motion to set-aside default - Granted,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.782703797101234,-87.6912023924546,POINT (-87.6912023924546 41.782703797101234)
14CP007642,P004155213|P004155215|P004155217,01/15/2014,POLICE,03/07/2014 09:00:00 AM,4430 S WHIPPLE ,13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"HSBC BANK USA, ",Liable - By plea,700.00,0.00,0.00,0.00,0.00,740.00,740.00,0.00,41.812694070919555,-87.70060950540109,POINT (-87.70060950540109 41.812694070919555)
14CP008093,P004155731|P004155733|P004155735,01/07/2014,POLICE,05/02/2014 01:00:00 PM,5015 S ROCKWELL ,13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK AND TRUST, ",City Non suit - Motion to set-aside default - Granted,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.80241069730943,-87.68900922738972,POINT (-87.68900922738972 41.80241069730943)
14CP021972,P004425598|P004425600,02/27/2014,POLICE,04/04/2014 09:00:00 AM,8122 S SACRAMENTO ,13-12-140  Watchman required|13-12-140  Watchman required,"OCWEN LOAN SERVICING LLC, ",Liable - By plea,400.00,0.00,0.00,0.00,0.00,440.00,440.00,0.00,41.7455133325551,-87.69754013058825,POINT (-87.69754013058825 41.7455133325551)
14CP033921,P004456942|P004456945,03/13/2014,POLICE,05/02/2014 09:00:00 AM,100  UNKNOWN ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"WELLS FARGO BANK, ",Not liable - City failed to establish prima facie case,2800.00,0.00,51.82,800.88,0.00,3692.70,3692.70,0.00,,,
14CP043252,P004232072|P004232073|P004232074,04/15/2014,POLICE,08/01/2014 09:00:00 AM,5035 S ELIZABETH ,13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"BANK OF AMERICA NA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.80220484461099,-87.65614783356106,POINT (-87.65614783356106 41.80220484461099)
14CP051701,P004015369|P004015370,04/14/2014,POLICE,08/01/2014 09:00:00 AM,4315 W VAN BUREN ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"GMAC MORTGAGE LLC, ",City Non suit - Motion to set-aside default - Granted,600.00,0.00,6.31,0.00,0.00,646.31,640.00,0.00,41.87505758422923,-87.73348721744084,POINT (-87.73348721744084 41.87505758422923)
14CP082560,P004317920|P004317923|P004317925,05/20/2014,POLICE,08/01/2014 09:00:00 AM,6242 S FRANCISO ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.,"DEUTSCHE BANK NATL TRUST CO, ",City non-suit,1300.00,0.00,15.85,377.88,0.00,1733.73,1733.41,0.00,41.77962248102674,-87.69598991801395,POINT (-87.69598991801395 41.77962248102674)
14CP085076,P004346089,05/19/2014,POLICE,08/01/2014 11:00:00 AM,57 W 116TH ,13-12-140  Watchman required,"CITI MORTGAGE INC, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
14CP093935,P004536896|P004536897,06/26/2014,POLICE,09/05/2014 09:00:00 AM,5359 S HERMITAGE ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"FEDERAL NATL MTG ASSN, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.795905866691804,-87.66813558846407,POINT (-87.66813558846407 41.795905866691804)
14CP106600,P004561126|P004561127,07/08/2014,POLICE,09/05/2014 01:00:00 PM,1106 N RIDGEWAY ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"CHASE HOME FINANCE LLC, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.90115703176943,-87.72031105818877,POINT (-87.72031105818877 41.90115703176943)
14CP123160,P004531635|P004531636|P004531637,09/03/2014,POLICE,10/03/2014 09:00:00 AM,6203 S LOOMIS ,13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"WELLS FARGO BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.7811374090019,-87.65925309370611,POINT (-87.65925309370611 41.7811374090019)
14CP125031,P003839420,09/13/2014,POLICE,11/05/2014 09:00:00 AM,201 S STATE ,7-24-099(a)     Cannabis - up to 15 grams,"BANK OF AMERICA, ",Vendor scanning error,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.87943055861516,-87.6275627694437,POINT (-87.6275627694437 41.87943055861516)
14CP154471,P004626052|P004626053,10/20/2014,POLICE,12/05/2014 01:00:00 PM,635 N CHRISTIANA ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"CHASE HOME FINANCE LLC, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.89295127765666,-87.70999370797273,POINT (-87.70999370797273 41.89295127765666)
15CP004965,P004679402|P004679403|P004679404|P004679405,12/17/2014,POLICE,02/06/2015 11:00:00 AM,7935 S VERNON ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required,"FIRST MIDWEST BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.750086436941444,-87.61353846769026,POINT (-87.61353846769026 41.750086436941444)
15CP041312,P004725977|P004725979,03/20/2015,POLICE,05/01/2015 01:00:00 PM,179 N LA CROSSE ,13-12-140  Watchman required|13-12-140  Watchman required,"WELLS FARGO BANK NA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.88417440706364,-87.74649134565654,POINT (-87.74649134565654 41.88417440706364)
15CP057739,P004763142|P004763144,04/28/2015,POLICE,06/05/2015 01:00:00 PM,114 N WALLER ,13-12-140  Watchman required|13-12-140  Watchman required,"FEDERAL NATIONAL MORTGAGE, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.882680964039665,-87.76835012727568,POINT (-87.76835012727568 41.882680964039665)
15CP061128,P004659231|P004659232|P004659233,04/20/2015,POLICE,06/05/2015 01:00:00 PM,5115 S CHRISTIANA ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"NATION STAR MORTGAGE LLC, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.800285268624094,-87.70728065164566,POINT (-87.70728065164566 41.800285268624094)
15CP065231,P004723474|P004723475,05/03/2015,POLICE,06/05/2015 01:00:00 PM,742 S KENNETH ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"US BANK NA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.87116274035112,-87.73662458593391,POINT (-87.73662458593391 41.87116274035112)
15CP080441,P004806688|P004806689,05/08/2015,POLICE,08/07/2015 11:00:00 AM,31 W 110TH ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
15CP096547,P004800944|P004800945,06/15/2015,POLICE,08/07/2015 01:00:00 PM,811 N DRAKE ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"CHASE HOME FINANCE LLC, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.895849494208434,-87.71495879639536,POINT (-87.71495879639536 41.895849494208434)
15CP114089,P003124666|P003124667,08/11/2015,POLICE,10/02/2015 09:00:00 AM,540 W GARFIELD ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit,1400.00,0.00,2.13,0.00,0.00,1442.13,1440.00,0.00,41.79451678193441,-87.6392857771205,POINT (-87.6392857771205 41.79451678193441)
15CP122959,P004909920|P004909922|P004909924,08/29/2015,POLICE,10/02/2015 09:00:00 AM,6201 S FRANCISCO ,13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"DEUTSCHE BANK, ",Default - Liable by prove-up,1300.00,0.00,227.99,377.88,0.00,1945.87,1541.36,0.00,41.78081454997919,-87.6957304353496,POINT (-87.6957304353496 41.78081454997919)
15CP125857,P004800993|P004800994,09/01/2015,POLICE,10/02/2015 01:00:00 PM,4218 W VAN BUREN ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"STANDARD BANK AND TRUST CO, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.87530537242397,-87.7311951773155,POINT (-87.7311951773155 41.87530537242397)
15CP129308,P004839844,09/17/2015,POLICE,10/16/2015 02:30:00 PM,2958 N MILWAUKEE ,7-24-099(a)     Cannabis - up to 15 grams,"US BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.93503945442056,-87.71742527956768,POINT (-87.71742527956768 41.93503945442056)
15CP149157,P004916423|P004916424|P004916427|P004916428,10/27/2015,POLICE,01/08/2016 09:00:00 AM,7105 S PRINCTON ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
16CP001776,P004876149|P004876554,12/15/2015,POLICE,02/05/2016 11:00:00 AM,442 W 126TH ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"WELLS FARGO BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
16CP010069,P004931663,02/09/2016,POLICE,03/21/2016 02:30:00 PM,1565 N CLYBOURN ,7-24-099(a)     Cannabis - up to 15 grams,"BANK OF AMERICA, ",Vendor scanning error,100.00,0.00,0.00,0.00,0.00,140.00,140.00,0.00,41.90997203381537,-87.64799532996817,POINT (-87.64799532996817 41.90997203381537)
16CP017096,P004920793|P004920794|P004920795|P004920796,02/14/2016,POLICE,04/01/2016 11:00:00 AM,7544 S SANGAMON ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required,"NATION STAR MORTGAGE LLC, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.75648053521879,-87.64797759562212,POINT (-87.64797759562212 41.75648053521879)
16CP026726,P005008169|P005008170|P005008171,03/30/2016,POLICE,06/03/2016 09:00:00 AM,5435 S JUSTINE ,13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"DEUTSCHE BANK NATL TRUST CO, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.7948216634676,-87.66324534699669,POINT (-87.66324534699669 41.7948216634676)
16CP041716,P004550293|P004550294|P004550295|P004550296|P004550297|P004550298,05/11/2016,POLICE,07/01/2016 09:00:00 AM,4608 S HONORE ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"OCWEN LOAN SERVICING LLC, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.81004816209894,-87.67123384423027,POINT (-87.67123384423027 41.81004816209894)
16CP051416,P004906707|P004906709,05/18/2016,POLICE,07/01/2016 01:00:00 PM,5005 W CHICAGO ,13-12-140  Watchman required|13-12-140  Watchman required,"US BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.89485254510581,-87.75092357752868,POINT (-87.75092357752868 41.89485254510581)
16CP065470,P005081590|P005081591|P005081592,07/05/2016,POLICE,09/02/2016 09:00:00 AM,5419 S LAFLIN ,13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"FEDERAL NATL MTG ASSN, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.79532204896418,-87.66204342125421,POINT (-87.66204342125421 41.79532204896418)
16CP073405,P004960871|P004960872|P004960873|P004960874,07/06/2016,POLICE,09/02/2016 11:00:00 AM,9357 S BURNSIDE ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required,"HSBC BANK USA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.72368489436974,-87.60750176524958,POINT (-87.60750176524958 41.72368489436974)
16CP091237,P004893728,09/25/2016,POLICE,10/19/2016 02:30:00 PM,3260 W BELMONT ,7-24-099(a)     Cannabis - up to 15 grams,"BANK OF AMERICA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.93941738175874,-87.70992511646236,POINT (-87.70992511646236 41.93941738175874)
16CP105508,P005016628|P005016629,11/01/2016,POLICE,12/02/2016 01:00:00 PM,3929 W GRENSHAW ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"BANK OF AMERICA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.86698614360043,-87.723948849122,POINT (-87.723948849122 41.86698614360043)
16CP110999,P005075951|P005075952|P005075953|P005075954,11/15/2016,POLICE,01/06/2017 01:00:00 PM,100  UNKNOWN ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required,"NATIONWIDE REO LLC, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
16CP111680,P005196828|P005196829,11/10/2016,POLICE,03/03/2017 09:00:00 AM,6325 S CAMPBELL ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"BANK OF NEW YORK MELLON, ",Liable - By Plea - Motion to set-aside default granted,1300.00,0.00,23.79,0.00,0.00,1363.79,1340.00,0.00,41.77845777496795,-87.68592016974388,POINT (-87.68592016974388 41.77845777496795)
