,Month,DayOfWeek,Hour,District,Crime,Crime Score
44372,12,6,10,31,1,0
40144,11,5,12,31,1,0
25344,7,5,10,31,1,0
13199,4,3,15,31,1,0
42259,12,2,11,31,1,0
31161,9,2,8,31,1,0
22173,6,6,9,31,1,0
27988,8,3,0,31,1,0
27989,8,3,11,31,1,0
24288,7,3,21,31,1,0
7391,2,6,7,31,1,0
1583,1,2,7,31,1,0
26930,8,1,12,31,1,0
36446,10,5,3,31,1,0
27459,8,2,14,31,1,0
27458,8,2,13,31,1,0
41730,12,1,7,31,1,0
12145,4,1,15,31,1,0
30103,9,0,12,31,1,0
16892,5,3,14,31,1,0
25873,7,6,12,31,1,0
37503,11,0,7,31,1,0
21116,6,4,7,31,1,0
23759,7,2,6,31,1,0
22702,7,0,9,31,1,0
34859,10,2,23,31,1,0
2639,1,4,11,31,1,0
4225,2,0,15,31,1,0
35917,10,4,7,31,1,0
35916,10,4,2,31,1,0
43843,12,5,11,31,1,0
30631,9,1,9,31,1,0
28518,8,4,14,31,1,0
30632,9,1,12,31,1,0
12144,4,1,7,31,1,0
32218,9,4,13,31,1,0
6862,2,5,12,31,1,0
3696,1,6,0,31,1,0
41201,12,0,12,31,1,0
8977,3,2,14,31,1,0
8448,3,1,20,31,1,0
11084,3,6,19,25,33,2
36972,10,6,21,25,33,2
25852,7,6,3,25,28,2
25851,7,6,2,25,31,2
36974,10,6,23,25,30,2
25850,7,6,1,25,21,1
36973,10,6,22,25,26,1
11082,3,6,17,25,34,2
11085,3,6,20,25,38,2
25849,7,6,0,25,43,2
6316,2,4,6,25,11,0
11083,3,6,18,25,22,1
11088,3,6,23,25,16,1
11087,3,6,22,25,29,2
11086,3,6,21,25,34,2
6317,2,4,7,25,16,1
25854,7,6,5,25,11,0
25853,7,6,4,25,16,1
25863,7,6,14,25,26,1
25869,7,6,20,25,28,2
25868,7,6,19,25,27,1
41200,12,0,23,25,20,1
25867,7,6,18,25,27,1
25866,7,6,17,25,24,1
25865,7,6,16,25,32,2
25864,7,6,15,25,27,1
25862,7,6,13,25,23,1
11080,3,6,15,25,19,1
25861,7,6,12,25,34,2
25860,7,6,11,25,22,1
25859,7,6,10,25,21,1
25858,7,6,9,25,25,1
25857,7,6,8,25,23,1
25856,7,6,7,25,8,0
25855,7,6,6,25,17,1
11081,3,6,16,25,32,2
11079,3,6,14,25,21,1
25871,7,6,22,25,26,1
11078,3,6,13,25,19,1
22683,7,0,5,25,9,0
22684,7,0,6,25,6,0
22685,7,0,7,25,18,1
22686,7,0,8,25,22,1
36969,10,6,18,25,39,2
36968,10,6,17,25,27,1
22687,7,0,9,25,26,1
22688,7,0,10,25,19,1
36967,10,6,16,25,25,1
22689,7,0,11,25,23,1
22690,7,0,12,25,42,2
22691,7,0,13,25,27,1
22692,7,0,14,25,35,2
22693,7,0,15,25,28,2
22694,7,0,16,25,35,2
22695,7,0,17,25,30,2
36966,10,6,15,25,23,1
22682,7,0,4,25,11,0
22681,7,0,3,25,16,1
22680,7,0,2,25,27,1
11071,3,6,6,25,5,0
11077,3,6,12,25,37,2
11076,3,6,11,25,15,1
11075,3,6,10,25,23,1
11074,3,6,9,25,24,1
11073,3,6,8,25,11,0
11072,3,6,7,25,12,0
36971,10,6,20,25,35,2
11070,3,6,5,25,10,0
22679,7,0,1,25,20,1
11069,3,6,4,25,24,1
11068,3,6,3,25,16,1
11067,3,6,2,25,23,1
11066,3,6,1,25,26,1
36970,10,6,19,25,37,2
11065,3,6,0,25,42,2
22678,7,0,0,25,53,2
25870,7,6,21,25,32,2
6315,2,4,5,25,5,0
25872,7,6,23,25,28,2
15298,5,0,13,25,18,1
15292,5,0,7,25,9,0
15293,5,0,8,25,27,1
41191,12,0,14,25,19,1
15294,5,0,9,25,36,2
15295,5,0,10,25,28,2
15296,5,0,11,25,26,1
15297,5,0,12,25,32,2
15299,5,0,14,25,31,2
15291,5,0,6,25,13,2
41192,12,0,15,25,26,1
15300,5,0,15,25,26,1
15301,5,0,16,25,31,2
15302,5,0,17,25,20,1
15303,5,0,18,25,29,2
15304,5,0,19,25,24,1
15305,5,0,20,25,31,2
41190,12,0,13,25,24,1
15290,5,0,5,25,6,0
41184,12,0,7,25,13,2
41178,12,0,1,25,13,2
41183,12,0,6,25,7,0
41182,12,0,5,25,8,0
41181,12,0,4,25,4,0
41180,12,0,3,25,14,1
41185,12,0,8,25,24,1
41179,12,0,2,25,17,1
41186,12,0,9,25,26,1
41177,12,0,0,25,35,2
41189,12,0,12,25,34,2
15285,5,0,0,25,52,2
15286,5,0,1,25,19,1
41187,12,0,10,25,26,1
41188,12,0,11,25,17,1
15287,5,0,2,25,16,1
15288,5,0,3,25,15,1
15289,5,0,4,25,11,0
41193,12,0,16,25,33,2
15306,5,0,21,25,43,2
15307,5,0,22,25,29,2
30100,9,0,21,25,30,2
22696,7,0,18,25,35,2
30096,9,0,17,25,29,2
30097,9,0,18,25,28,2
41197,12,0,20,25,22,1
30098,9,0,19,25,24,1
41198,12,0,21,25,23,1
30099,9,0,20,25,38,2
30101,9,0,22,25,30,2
15308,5,0,23,25,21,1
30102,9,0,23,25,21,1
41199,12,0,22,25,21,1
6310,2,4,0,25,35,2
6311,2,4,1,25,11,0
6312,2,4,2,25,13,2
6313,2,4,3,25,9,0
6314,2,4,4,25,6,0
30094,9,0,15,25,37,2
30093,9,0,14,25,22,1
30092,9,0,13,25,25,1
41196,12,0,19,25,37,2
30079,9,0,0,25,47,2
41194,12,0,17,25,34,2
30080,9,0,1,25,16,1
30081,9,0,2,25,26,1
30082,9,0,3,25,17,1
30083,9,0,4,25,9,0
30084,9,0,5,25,12,0
30085,9,0,6,25,5,0
30086,9,0,7,25,22,1
41195,12,0,18,25,31,2
30087,9,0,8,25,20,1
30088,9,0,9,25,20,1
30089,9,0,10,25,33,2
30090,9,0,11,25,42,2
30091,9,0,12,25,40,2
30095,9,0,16,25,27,1
2621,1,4,6,25,13,2
22697,7,0,19,25,31,2
37479,11,0,0,25,41,2
42773,12,3,9,25,35,2
42774,12,3,10,25,30,2
42775,12,3,11,25,27,1
42776,12,3,12,25,38,2
42777,12,3,13,25,23,1
42778,12,3,14,25,28,2
42779,12,3,15,25,32,2
42780,12,3,16,25,36,2
37480,11,0,1,25,14,1
42771,12,3,7,25,13,2
37481,11,0,2,25,14,1
37482,11,0,3,25,13,2
37483,11,0,4,25,11,0
37484,11,0,5,25,11,0
37485,11,0,6,25,7,0
37486,11,0,7,25,18,1
10560,3,5,23,25,34,2
10559,3,5,22,25,26,1
42772,12,3,8,25,17,1
42770,12,3,6,25,10,0
10557,3,5,20,25,28,2
15830,5,1,17,25,26,1
15822,5,1,9,25,26,1
15823,5,1,10,25,18,1
15824,5,1,11,25,25,1
15825,5,1,12,25,44,2
15826,5,1,13,25,26,1
15827,5,1,14,25,28,2
15828,5,1,15,25,31,2
15829,5,1,16,25,33,2
15831,5,1,18,25,26,1
42769,12,3,5,25,13,2
15832,5,1,19,25,26,1
15833,5,1,20,25,25,1
15834,5,1,21,25,18,1
15835,5,1,22,25,31,2
15836,5,1,23,25,26,1
42766,12,3,2,25,15,1
42767,12,3,3,25,11,0
42768,12,3,4,25,9,0
10558,3,5,21,25,27,1
10556,3,5,19,25,26,1
2615,1,4,0,25,34,2
33783,10,0,4,25,5,0
25323,7,5,3,25,26,1
25322,7,5,2,25,33,2
25321,7,5,1,25,36,2
25320,7,5,0,25,49,2
33779,10,0,0,25,58,2
33780,10,0,1,25,20,1
33781,10,0,2,25,11,0
33782,10,0,3,25,13,2
33784,10,0,5,25,8,0
25325,7,5,5,25,12,0
33785,10,0,6,25,10,0
33786,10,0,7,25,18,1
33787,10,0,8,25,20,1
33788,10,0,9,25,33,2
33789,10,0,10,25,24,1
33790,10,0,11,25,21,1
33791,10,0,12,25,32,2
33792,10,0,13,25,22,1
25324,7,5,4,25,13,2
25326,7,5,6,25,11,0
10555,3,5,18,25,30,2
25337,7,5,17,25,31,2
10554,3,5,17,25,22,1
10553,3,5,16,25,26,1
25343,7,5,23,25,35,2
25342,7,5,22,25,42,2
25341,7,5,21,25,23,1
25340,7,5,20,25,35,2
25339,7,5,19,25,37,2
25338,7,5,18,25,34,2
25336,7,5,16,25,39,2
25327,7,5,7,25,14,1
25335,7,5,15,25,44,2
25334,7,5,14,25,19,1
25333,7,5,13,25,20,1
25332,7,5,12,25,37,2
25331,7,5,11,25,25,1
25330,7,5,10,25,19,1
25329,7,5,9,25,22,1
25328,7,5,8,25,17,1
15821,5,1,8,25,15,1
15820,5,1,7,25,13,2
15819,5,1,6,25,14,1
6321,2,4,11,25,27,1
2638,1,4,23,25,19,1
22698,7,0,20,25,33,2
22699,7,0,21,25,29,2
22700,7,0,22,25,31,2
22701,7,0,23,25,17,1
6318,2,4,8,25,22,1
6319,2,4,9,25,28,2
6320,2,4,10,25,20,1
6322,2,4,12,25,19,1
2636,1,4,21,25,19,1
6323,2,4,13,25,22,1
6324,2,4,14,25,26,1
6325,2,4,15,25,23,1
6326,2,4,16,25,33,2
6327,2,4,17,25,32,2
6328,2,4,18,25,33,2
6329,2,4,19,25,34,2
6330,2,4,20,25,30,2
2637,1,4,22,25,33,2
2635,1,4,20,25,46,2
15818,5,1,5,25,10,0
2624,1,4,9,25,28,2
2616,1,4,1,25,20,1
2617,1,4,2,25,10,0
2618,1,4,3,25,14,1
2619,1,4,4,25,7,0
2620,1,4,5,25,6,0
36964,10,6,13,25,27,1
2622,1,4,7,25,16,1
2623,1,4,8,25,26,1
2625,1,4,10,25,36,2
2634,1,4,19,25,27,1
2626,1,4,11,25,25,1
2627,1,4,12,25,37,2
2628,1,4,13,25,26,1
2629,1,4,14,25,32,2
2630,1,4,15,25,36,2
2631,1,4,16,25,27,1
2632,1,4,17,25,23,1
2633,1,4,18,25,29,2
6331,2,4,21,25,17,1
6332,2,4,22,25,23,1
6333,2,4,23,25,16,1
5262,2,2,4,25,3,0
5270,2,2,12,25,33,2
5269,2,2,11,25,20,1
5268,2,2,10,25,13,2
5267,2,2,9,25,18,1
5266,2,2,8,25,19,1
5265,2,2,7,25,11,0
5264,2,2,6,25,6,0
5263,2,2,5,25,7,0
5261,2,2,3,25,3,0
31676,9,3,10,25,30,2
5260,2,2,2,25,11,0
5259,2,2,1,25,11,0
5258,2,2,0,25,29,2
15813,5,1,0,25,31,2
15814,5,1,1,25,18,1
15815,5,1,2,25,12,0
15816,5,1,3,25,11,0
15817,5,1,4,25,14,1
5271,2,2,13,25,27,1
5272,2,2,14,25,34,2
5273,2,2,15,25,28,2
5274,2,2,16,25,19,1
31675,9,3,9,25,26,1
31674,9,3,8,25,27,1
31673,9,3,7,25,13,2
31672,9,3,6,25,19,1
31671,9,3,5,25,9,0
31670,9,3,4,25,8,0
31669,9,3,3,25,8,0
31668,9,3,2,25,15,1
31667,9,3,1,25,16,1
31666,9,3,0,25,42,2
5281,2,2,23,25,10,0
5280,2,2,22,25,15,1
5279,2,2,21,25,20,1
5278,2,2,20,25,29,2
5277,2,2,19,25,21,1
5276,2,2,18,25,27,1
5275,2,2,17,25,29,2
36965,10,6,14,25,23,1
38541,11,2,5,25,10,0
36963,10,6,12,25,32,2
14775,4,6,17,25,29,2
14767,4,6,9,25,10,0
14768,4,6,10,25,16,1
14769,4,6,11,25,12,0
14770,4,6,12,25,24,1
14771,4,6,13,25,18,1
14772,4,6,14,25,12,0
14773,4,6,15,25,17,1
14774,4,6,16,25,16,1
14776,4,6,18,25,25,1
14765,4,6,7,25,18,1
14777,4,6,19,25,23,1
14778,4,6,20,25,38,2
14779,4,6,21,25,24,1
14780,4,6,22,25,27,1
14781,4,6,23,25,24,1
39074,11,3,10,25,18,1
39073,11,3,9,25,19,1
39072,11,3,8,25,17,1
14766,4,6,8,25,11,0
14764,4,6,6,25,9,0
39070,11,3,6,25,10,0
8425,3,1,1,25,12,0
26912,8,1,6,25,10,0
26911,8,1,5,25,10,0
26910,8,1,4,25,8,0
26909,8,1,3,25,10,0
26908,8,1,2,25,15,1
26907,8,1,1,25,19,1
26906,8,1,0,25,44,2
8424,3,1,0,25,26,1
8426,3,1,2,25,12,0
14763,4,6,5,25,4,0
8427,3,1,3,25,11,0
8428,3,1,4,25,11,0
8429,3,1,5,25,3,0
14758,4,6,0,25,22,1
14759,4,6,1,25,20,1
14760,4,6,2,25,13,2
14761,4,6,3,25,22,1
14762,4,6,4,25,19,1
39071,11,3,7,25,16,1
39069,11,3,5,25,11,0
26914,8,1,8,25,15,1
43829,12,5,10,25,22,1
36956,10,6,5,25,17,1
43822,12,5,3,25,18,1
43823,12,5,4,25,18,1
43824,12,5,5,25,11,0
43825,12,5,6,25,10,0
43826,12,5,7,25,8,0
43827,12,5,8,25,21,1
43828,12,5,9,25,26,1
43830,12,5,11,25,25,1
36954,10,6,3,25,33,2
43831,12,5,12,25,35,2
43832,12,5,13,25,18,1
43833,12,5,14,25,25,1
43834,12,5,15,25,35,2
43835,12,5,16,25,31,2
43836,12,5,17,25,25,1
43837,12,5,18,25,38,2
43838,12,5,19,25,21,1
36955,10,6,4,25,24,1
36953,10,6,2,25,28,2
20059,6,2,23,25,17,1
20050,6,2,14,25,19,1
20058,6,2,22,25,20,1
20057,6,2,21,25,24,1
20056,6,2,20,25,30,2
20055,6,2,19,25,33,2
20054,6,2,18,25,25,1
20053,6,2,17,25,21,1
20052,6,2,16,25,35,2
20051,6,2,15,25,35,2
20049,6,2,13,25,25,1
36952,10,6,1,25,30,2
20048,6,2,12,25,39,2
20047,6,2,11,25,34,2
20046,6,2,10,25,34,2
20045,6,2,9,25,24,1
20044,6,2,8,25,27,1
20043,6,2,7,25,17,1
20042,6,2,6,25,6,0
36951,10,6,0,25,59,2
26913,8,1,7,25,20,1
26915,8,1,9,25,19,1
36962,10,6,11,25,21,1
19517,6,1,9,25,20,1
19509,6,1,1,25,14,1
19510,6,1,2,25,11,0
19511,6,1,3,25,12,0
19512,6,1,4,25,6,0
19513,6,1,5,25,11,0
19514,6,1,6,25,8,0
19515,6,1,7,25,7,0
19516,6,1,8,25,20,1
19518,6,1,10,25,21,1
12120,4,1,0,25,19,1
19519,6,1,11,25,21,1
19520,6,1,12,25,41,2
19521,6,1,13,25,24,1
19522,6,1,14,25,23,1
19523,6,1,15,25,36,2
19524,6,1,16,25,25,1
19525,6,1,17,25,37,2
19526,6,1,18,25,38,2
19508,6,1,0,25,34,2
12121,4,1,1,25,10,0
19528,6,1,20,25,38,2
29571,8,6,20,25,34,2
29563,8,6,12,25,31,2
29564,8,6,13,25,29,2
29565,8,6,14,25,26,1
29566,8,6,15,25,35,2
29567,8,6,16,25,28,2
29568,8,6,17,25,34,2
29569,8,6,18,25,28,2
29570,8,6,19,25,28,2
29572,8,6,21,25,40,2
12122,4,1,2,25,6,0
12130,4,1,10,25,30,2
12129,4,1,9,25,25,1
12128,4,1,8,25,12,0
12127,4,1,7,25,7,0
12126,4,1,6,25,6,0
12125,4,1,5,25,2,0
12124,4,1,4,25,11,0
12123,4,1,3,25,6,0
19527,6,1,19,25,35,2
19529,6,1,21,25,24,1
26916,8,1,10,25,32,2
26926,8,1,20,25,31,2
1582,1,2,23,25,19,1
39076,11,3,12,25,30,2
39075,11,3,11,25,22,1
29573,8,6,22,25,32,2
29574,8,6,23,25,20,1
26929,8,1,23,25,23,1
26928,8,1,22,25,41,2
26927,8,1,21,25,36,2
26925,8,1,19,25,32,2
1580,1,2,21,25,22,1
26924,8,1,18,25,42,2
26923,8,1,17,25,34,2
26922,8,1,16,25,34,2
26921,8,1,15,25,37,2
26920,8,1,14,25,34,2
26919,8,1,13,25,24,1
26918,8,1,12,25,25,1
26917,8,1,11,25,36,2
1581,1,2,22,25,12,0
1579,1,2,20,25,22,1
1559,1,2,0,25,41,2
1568,1,2,9,25,31,2
1560,1,2,1,25,12,0
1561,1,2,2,25,14,1
1562,1,2,3,25,8,0
1563,1,2,4,25,6,0
1564,1,2,5,25,7,0
1565,1,2,6,25,7,0
1566,1,2,7,25,12,0
1567,1,2,8,25,24,1
1569,1,2,10,25,14,1
1578,1,2,19,25,31,2
1570,1,2,11,25,21,1
1571,1,2,12,25,36,2
1572,1,2,13,25,17,1
1573,1,2,14,25,18,1
1574,1,2,15,25,44,2
1575,1,2,16,25,24,1
1576,1,2,17,25,30,2
1577,1,2,18,25,37,2
43839,12,5,20,25,37,2
43840,12,5,21,25,41,2
43841,12,5,22,25,23,1
2098,1,3,11,25,23,1
2090,1,3,3,25,10,0
2091,1,3,4,25,10,0
2092,1,3,5,25,4,0
2093,1,3,6,25,10,0
2094,1,3,7,25,20,1
2095,1,3,8,25,10,0
2096,1,3,9,25,23,1
2097,1,3,10,25,30,2
2099,1,3,12,25,42,2
2088,1,3,1,25,12,0
2100,1,3,13,25,26,1
2101,1,3,14,25,33,2
2102,1,3,15,25,35,2
2103,1,3,16,25,35,2
2104,1,3,17,25,28,2
2105,1,3,18,25,32,2
2106,1,3,19,25,23,1
2107,1,3,20,25,30,2
2089,1,3,2,25,17,1
2087,1,3,0,25,20,1
2109,1,3,22,25,26,1
22162,6,6,13,25,26,1
22154,6,6,5,25,13,2
22155,6,6,6,25,11,0
22156,6,6,7,25,11,0
22157,6,6,8,25,18,1
22158,6,6,9,25,24,1
22159,6,6,10,25,22,1
22160,6,6,11,25,15,1
22161,6,6,12,25,30,2
22163,6,6,14,25,27,1
22172,6,6,23,25,21,1
22164,6,6,15,25,29,2
22165,6,6,16,25,27,1
22166,6,6,17,25,20,1
22167,6,6,18,25,21,1
22168,6,6,19,25,21,1
22169,6,6,20,25,36,2
22170,6,6,21,25,31,2
22171,6,6,22,25,35,2
2108,1,3,21,25,19,1
2110,1,3,23,25,20,1
43842,12,5,23,25,28,2
38542,11,2,6,25,10,0
8440,3,1,16,25,44,2
8441,3,1,17,25,22,1
8442,3,1,18,25,37,2
8443,3,1,19,25,27,1
8444,3,1,20,25,42,2
8445,3,1,21,25,28,2
8446,3,1,22,25,20,1
8447,3,1,23,25,17,1
33794,10,0,15,25,38,2
8438,3,1,14,25,31,2
38540,11,2,4,25,8,0
38539,11,2,3,25,11,0
38538,11,2,2,25,11,0
38537,11,2,1,25,9,0
38536,11,2,0,25,41,2
36959,10,6,8,25,13,2
36960,10,6,9,25,29,2
36961,10,6,10,25,23,1
8439,3,1,15,25,28,2
8437,3,1,13,25,30,2
31689,9,3,23,25,25,1
31680,9,3,14,25,19,1
31688,9,3,22,25,24,1
31687,9,3,21,25,37,2
31686,9,3,20,25,36,2
31685,9,3,19,25,25,1
31684,9,3,18,25,30,2
31683,9,3,17,25,31,2
31682,9,3,16,25,35,2
31681,9,3,15,25,42,2
31679,9,3,13,25,32,2
8436,3,1,12,25,27,1
31678,9,3,12,25,28,2
31677,9,3,11,25,33,2
8430,3,1,6,25,7,0
8431,3,1,7,25,11,0
8432,3,1,8,25,19,1
8433,3,1,9,25,29,2
8434,3,1,10,25,26,1
8435,3,1,11,25,23,1
22153,6,6,4,25,16,1
22152,6,6,3,25,19,1
22151,6,6,2,25,21,1
26397,8,0,19,25,32,2
11595,4,0,3,25,9,0
11594,4,0,2,25,18,1
11593,4,0,1,25,13,2
11592,4,0,0,25,43,2
26401,8,0,23,25,22,1
26400,8,0,22,25,38,2
26399,8,0,21,25,30,2
26398,8,0,20,25,51,2
26396,8,0,18,25,35,2
11597,4,0,5,25,8,0
26395,8,0,17,25,30,2
26394,8,0,16,25,26,1
26393,8,0,15,25,37,2
26392,8,0,14,25,29,2
26391,8,0,13,25,32,2
26390,8,0,12,25,32,2
26389,8,0,11,25,29,2
26388,8,0,10,25,19,1
11596,4,0,4,25,7,0
11598,4,0,6,25,6,0
22150,6,6,1,25,27,1
11609,4,0,17,25,28,2
36957,10,6,6,25,11,0
36958,10,6,7,25,18,1
11615,4,0,23,25,17,1
11614,4,0,22,25,26,1
11613,4,0,21,25,35,2
11612,4,0,20,25,24,1
11611,4,0,19,25,27,1
11610,4,0,18,25,30,2
11608,4,0,16,25,18,1
11599,4,0,7,25,15,1
11607,4,0,15,25,26,1
11606,4,0,14,25,32,2
11605,4,0,13,25,22,1
11604,4,0,12,25,31,2
11603,4,0,11,25,27,1
11602,4,0,10,25,30,2
11601,4,0,9,25,30,2
11600,4,0,8,25,15,1
26387,8,0,9,25,28,2
26386,8,0,8,25,29,2
26385,8,0,7,25,13,2
35372,10,3,8,25,31,2
35380,10,3,16,25,29,2
35379,10,3,15,25,39,2
35378,10,3,14,25,25,1
35377,10,3,13,25,28,2
35376,10,3,12,25,34,2
35375,10,3,11,25,33,2
35374,10,3,10,25,28,2
35373,10,3,9,25,28,2
35371,10,3,7,25,14,1
26384,8,0,6,25,14,1
35370,10,3,6,25,14,1
35369,10,3,5,25,6,0
35368,10,3,4,25,10,0
35367,10,3,3,25,15,1
35366,10,3,2,25,15,1
35365,10,3,1,25,12,0
35364,10,3,0,25,41,2
22149,6,6,0,25,42,2
35381,10,3,17,25,40,2
35382,10,3,18,25,38,2
35383,10,3,19,25,32,2
35384,10,3,20,25,34,2
26383,8,0,5,25,8,0
26382,8,0,4,25,13,2
26381,8,0,3,25,13,2
26380,8,0,2,25,22,1
26379,8,0,1,25,14,1
26378,8,0,0,25,62,2
20041,6,2,5,25,11,0
20040,6,2,4,25,12,0
20039,6,2,3,25,14,1
20038,6,2,2,25,12,0
20037,6,2,1,25,19,1
20036,6,2,0,25,53,2
42764,12,3,0,25,41,2
42765,12,3,1,25,16,1
35387,10,3,23,25,19,1
35386,10,3,22,25,24,1
35385,10,3,21,25,36,2
33793,10,0,14,25,21,1
10543,3,5,6,25,10,0
33795,10,0,16,25,23,1
9503,3,3,21,25,18,1
38009,11,1,1,25,14,1
38010,11,1,2,25,10,0
38011,11,1,3,25,9,0
38012,11,1,4,25,3,0
38013,11,1,5,25,7,0
38014,11,1,6,25,12,0
9505,3,3,23,25,26,1
9504,3,3,22,25,23,1
9502,3,3,20,25,29,2
21115,6,4,23,25,29,2
9501,3,3,19,25,22,1
9500,3,3,18,25,27,1
9499,3,3,17,25,34,2
9498,3,3,16,25,32,2
9497,3,3,15,25,34,2
9496,3,3,14,25,26,1
9495,3,3,13,25,19,1
9494,3,3,12,25,30,2
38008,11,1,0,25,44,2
21114,6,4,22,25,28,2
9492,3,3,10,25,21,1
21103,6,4,11,25,15,1
21095,6,4,3,25,15,1
21096,6,4,4,25,12,0
21097,6,4,5,25,6,0
21098,6,4,6,25,10,0
21099,6,4,7,25,10,0
21100,6,4,8,25,13,2
21101,6,4,9,25,24,1
21102,6,4,10,25,24,1
21104,6,4,12,25,24,1
21113,6,4,21,25,30,2
21105,6,4,13,25,28,2
21106,6,4,14,25,29,2
21107,6,4,15,25,38,2
21108,6,4,16,25,29,2
21109,6,4,17,25,22,1
21110,6,4,18,25,26,1
21111,6,4,19,25,26,1
21112,6,4,20,25,26,1
9493,3,3,11,25,27,1
9491,3,3,9,25,19,1
21093,6,4,1,25,13,2
4205,2,0,4,25,3,0
4739,2,1,9,25,21,1
4738,2,1,8,25,24,1
4737,2,1,7,25,18,1
4736,2,1,6,25,11,0
4201,2,0,0,25,35,2
4202,2,0,1,25,12,0
4203,2,0,2,25,13,2
4204,2,0,3,25,9,0
4206,2,0,5,25,7,0
4741,2,1,11,25,25,1
4207,2,0,6,25,10,0
4208,2,0,7,25,17,1
4209,2,0,8,25,17,1
4210,2,0,9,25,28,2
4211,2,0,10,25,18,1
4212,2,0,11,25,24,1
4213,2,0,12,25,28,2
4214,2,0,13,25,18,1
4740,2,1,10,25,17,1
4742,2,1,12,25,20,1
9490,3,3,8,25,16,1
4753,2,1,23,25,14,1
9489,3,3,7,25,12,0
9488,3,3,6,25,7,0
9487,3,3,5,25,1,0
9486,3,3,4,25,6,0
9485,3,3,3,25,5,0
9484,3,3,2,25,10,0
9483,3,3,1,25,8,0
9482,3,3,0,25,22,1
4752,2,1,22,25,16,1
4743,2,1,13,25,26,1
4751,2,1,21,25,24,1
4750,2,1,20,25,34,2
4749,2,1,19,25,19,1
4748,2,1,18,25,36,2
4747,2,1,17,25,30,2
4746,2,1,16,25,30,2
4745,2,1,15,25,36,2
4744,2,1,14,25,25,1
21094,6,4,2,25,19,1
21092,6,4,0,25,36,2
4216,2,0,15,25,26,1
40124,11,5,4,25,23,1
16879,5,3,11,25,21,1
16880,5,3,12,25,30,2
16881,5,3,13,25,21,1
16882,5,3,14,25,22,1
16883,5,3,15,25,37,2
16884,5,3,16,25,28,2
16885,5,3,17,25,31,2
40123,11,5,3,25,17,1
40125,11,5,5,25,9,0
16877,5,3,9,25,27,1
40126,11,5,6,25,10,0
40127,11,5,7,25,13,2
40128,11,5,8,25,17,1
40129,11,5,9,25,14,1
40130,11,5,10,25,26,1
40131,11,5,11,25,23,1
24287,7,3,23,25,31,2
24286,7,3,22,25,27,1
16878,5,3,10,25,29,2
16876,5,3,8,25,19,1
24284,7,3,20,25,36,2
40120,11,5,0,25,39,2
40656,11,6,7,25,13,2
40655,11,6,6,25,12,0
40654,11,6,5,25,24,1
40653,11,6,4,25,25,1
40652,11,6,3,25,28,2
40651,11,6,2,25,30,2
40650,11,6,1,25,34,2
40649,11,6,0,25,43,2
40121,11,5,1,25,20,1
16875,5,3,7,25,15,1
40122,11,5,2,25,31,2
16868,5,3,0,25,31,2
16869,5,3,1,25,13,2
16870,5,3,2,25,10,0
16871,5,3,3,25,4,0
16872,5,3,4,25,7,0
16873,5,3,5,25,10,0
16874,5,3,6,25,7,0
24285,7,3,21,25,28,2
24283,7,3,19,25,24,1
16891,5,3,23,25,21,1
17929,5,5,4,25,21,1
40136,11,5,16,25,20,1
40137,11,5,17,25,31,2
40138,11,5,18,25,20,1
40139,11,5,19,25,25,1
40140,11,5,20,25,34,2
40141,11,5,21,25,34,2
40142,11,5,22,25,32,2
40143,11,5,23,25,37,2
17928,5,5,3,25,14,1
40134,11,5,14,25,29,2
17927,5,5,2,25,16,1
17926,5,5,1,25,11,0
17925,5,5,0,25,32,2
16886,5,3,18,25,28,2
16887,5,3,19,25,32,2
16888,5,3,20,25,24,1
16889,5,3,21,25,26,1
16890,5,3,22,25,37,2
40135,11,5,15,25,31,2
40133,11,5,13,25,23,1
24282,7,3,18,25,29,2
24273,7,3,9,25,18,1
24281,7,3,17,25,25,1
24280,7,3,16,25,31,2
24279,7,3,15,25,39,2
24278,7,3,14,25,30,2
24277,7,3,13,25,25,1
24276,7,3,12,25,31,2
24275,7,3,11,25,27,1
24274,7,3,10,25,22,1
24272,7,3,8,25,24,1
40132,11,5,12,25,25,1
24271,7,3,7,25,22,1
24270,7,3,6,25,11,0
24269,7,3,5,25,7,0
24268,7,3,4,25,7,0
24267,7,3,3,25,14,1
24266,7,3,2,25,15,1
24265,7,3,1,25,17,1
24264,7,3,0,25,42,2
4215,2,0,14,25,21,1
4217,2,0,16,25,30,2
10552,3,5,15,25,31,2
31152,9,2,15,25,22,1
38019,11,1,11,25,19,1
38018,11,1,10,25,24,1
38017,11,1,9,25,31,2
38016,11,1,8,25,18,1
38015,11,1,7,25,25,1
31149,9,2,12,25,35,2
31150,9,2,13,25,31,2
31151,9,2,14,25,26,1
31153,9,2,16,25,21,1
38021,11,1,13,25,19,1
31154,9,2,17,25,28,2
31155,9,2,18,25,33,2
31156,9,2,19,25,29,2
31157,9,2,20,25,32,2
31158,9,2,21,25,30,2
31159,9,2,22,25,35,2
31160,9,2,23,25,19,1
43294,12,4,2,25,28,2
38020,11,1,12,25,34,2
38022,11,1,14,25,29,2
43296,12,4,4,25,12,0
34308,10,1,1,25,17,1
34316,10,1,9,25,21,1
34315,10,1,8,25,21,1
34314,10,1,7,25,10,0
34313,10,1,6,25,14,1
34312,10,1,5,25,7,0
34311,10,1,4,25,10,0
34310,10,1,3,25,12,0
