,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1
const,6.605541041928979,6.649431395837779,6.969032734135567,6.599942403710119,7.0033512869687415,6.5816961390157775,6.587117557362109,6.1845764906548,6.41159421285137,6.499739337602507,6.511595449156118,6.815874374462995,6.715179842018259,6.434217798531915,6.4621412575588675,6.748880492149407,6.586647581870451,6.595630156088455,6.798275183244546,6.6624228130495124,6.584957574712249
log_area_sqft,-0.16426291530523202,-0.16729385577864378,-0.21563672709604426,-0.15203951556415127,-0.17403302588264247,-0.15801589490220957,-0.15018012396642272,-0.11764910425422935,-0.10341406803793375,-0.11525830477341444,-0.13203671473129275,-0.1474839463343431,-0.1293111523149551,-0.11317350204804073,-0.1117277524451066,-0.11643000211789575,-0.1114035721527068,-0.12011693341800883,-0.13506855351333616,-0.1338119418316599,-0.09712921522970602
Type_Condominium,0.0592076982916665,0.07904737350788188,0.10305267190356553,0.09359419611612096,0.015316917169260221,0.03756937479587989,0.04428218983554946,0.06279598296691273,0.07037772761690843,0.09879486596691589,0.10492718432992797,0.09626702338812121,0.07518555469976551,0.10085595132447948,0.09228728844549053,0.06975927273738063,0.08687117311648526,0.050246063160868444,0.06847953570714707,0.06949583653513267,0.07990010369939489
Building_age,-0.0012795824470951216,-0.0014230637257732182,-0.0013657966831749275,-0.001327759050600406,-0.0015305029961101217,-0.0010737015159811385,-0.0011868616254650565,-0.0013750055313873214,-0.0012337778543679667,-0.0010258016258514265,-0.0015943722176435743,-0.0015585237233433369,-0.0011121063459270826,-0.001022065990195019,-0.001395580629960363,-0.0014669329670556146,-0.0013912132645359445,-0.0016665040954765887,-0.0010647028969288889,-0.0011786589746071038,-0.0012376619783230575
Relative_tenure,1.913557056930081,1.8677230641113887,1.8617173780131615,1.7124466054710288,1.5745293079468472,1.8882376236660892,1.8378442131021586,2.065870471675692,1.8446686266529935,1.9170805567203553,1.9222670292059287,1.74131926513005,1.6971035906353933,1.9374199770406448,1.9515048559885209,1.6511662454239597,1.746455597875837,1.8405660606098373,1.789252739467958,1.9225868402616249,1.7875985901867657
Floor_number,0.004701348695458027,0.004935768248960727,0.003948584103596101,0.004528043623680989,0.004395521353349825,0.004584153061568445,0.00442805591961826,0.004410317417586332,0.0030620960798132383,0.0031765970589229114,0.0031688164901256203,0.0028672430596131497,0.004668390424454981,0.004354736812927622,0.0036651939166871673,0.003733258484262922,0.004008492868980501,0.003078330014059538,0.0032873499576828377,0.0038713157176718284,0.0029895554327109067
District_1,0.3433937062246215,0.28518633250925435,0.39562178375899953,0.34435027886321495,0.25988833516396326,0.30770170071101133,0.3435037388362617,0.3298099295860992,0.31650652840170873,0.3402176677436442,0.4197835980319928,0.3499875724358825,0.31661641404667973,0.32106699547667317,0.27624638726682404,0.45037073988151166,0.4794424293329467,0.4441949482438715,0.4011406892021428,0.3163123152084055,0.2792612359136143
District_2,0.1965937476186591,0.2069530181310805,0.2750616584426907,0.3199500539787941,0.22491380347728507,0.23823002003690408,0.25753952245344175,0.2783095507210098,0.2566834583208928,0.29499046550383323,0.32756923337504346,0.333671178574568,0.22258320161723955,0.13574313650229622,0.13145668817386086,0.2026295103779252,0.26300586561986977,0.17106564582318923,0.26759381414679007,0.17695504104676008,0.12522981899233226
District_4,0.2069785695035355,0.1975281434466745,0.07382108535938854,0.21448402276888104,0.23278476838170956,0.24540555080776305,0.21732443272000726,0.24098625717901243,0.12610647474315562,0.11274488060211768,0.17097549631895748,0.15526115411933217,0.13126433917771005,0.14677843733753504,0.17912832246420296,0.19914116863661532,0.2145357944826023,0.15612899677650077,0.10188857446374888,0.11937258003505771,0.02432559022032174
District_5,-0.18478943214002036,-0.18502685372938674,-0.15564599793259248,-0.23122370796625547,-0.2544381154896285,-0.23057753300288364,-0.17407419503006827,-0.2171195688830213,-0.2383794380627704,-0.2586735592607317,-0.14985765381568425,-0.20380793927109922,-0.17369153133168896,-0.20682281087150162,-0.23182579546023407,-0.19805388336520388,-0.16920739336857538,-0.18191611670930316,-0.22330509752058234,-0.2389730424115105,-0.20224836027836776
